data,label
C:\Users\piotr\Python\rehabnet\dataset\0e73e87e.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\bc631700.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\02a5439b.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\8f981c37.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\eb7ad318.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\67ee8d37.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\2cdb5557.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\db7e2034.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\515b1503.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\92fd1d80.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\44ad7a44.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\54d188c0.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\d8e11b36.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\4c9e3647.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\13703d61.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\b9c9e5c5.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\b7ef0cf0.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\64b74760.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\6a81ec05.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\20019710.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\f102697e.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\7be553c7.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\cc38572f.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\b0f854f1.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\a77b8d30.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\7ac5f21d.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\10c5b4e5.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\9197bfea.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\3a0137bf.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\17a076b3.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\0578d285.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\3f54c521.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\2375409f.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\35bbc72f.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\4487f573.npy,IDLE
